########################################################################################################################################################################################################################################################################################################################################
##### Free Energy Calculations for just Hertzian Spheres before considering Faceting or Interpenetration but with size change tolerance turned on
#####
#####
########################################################################################################################################################################################################################################################################################################################################


Number of particles: 32
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 20.267689261862138
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 0.001
Reservoir swelling ratio: 3.505574917793274
Mean swelling ratio: 3.5047174687499996
Dry volume fraction: 0.016099999999999965
Reservoir volume fraction: 0.693591296299635
Actual volume fraction: 0.692688403875655
MC steps: 150000
Equilibration steps: 50000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
Mean pair energy <E_pair>/N [kT]: 0.6604648167819426
The coupling constant increment - dlambda: 0.0
phi0,	mu/KT,		(PV/NkT)_total,		1+(PV/NkT)_virial,		 1+(PV/NkT)_pair/calculated,		(PV/NkT)_FR,      <F_total>/V,      EntropySolid,		Freference/V,           <F_FR>/V,     <alpha>,      zeta, 		newHertzianPotential, 		SpringConstant, 		lindemannParameter
0.0142, -10.583333381376793, -18.65705809474558, 11.980388980962134, -18.19507884937258, -0.4619792453729966, -0.02470122391807414, 1.5259655770269016, -0.001050698471780251, 0.0016907249691891285, 3.5048787500000005, 0.6117389072953304, 0.0, 3.207638130907818, 0.09151968672528218
0.0143, -206.70450237573584, -216.59774193884735, 12.160747451779976, -216.59240727170112, -0.005334667146235021, -0.024562192158684996, 1.5258568984339942, -7.671636518354084E-4, 0.0017106883667090482, 3.504833031249999, 0.6160469277692412, 0.0, 3.400868207221854, 0.08908984538381118
0.0144, -106.26877899199248, -108.75146728215056, 12.20723556399389, -109.18260366036463, 0.43113637821407136, -0.034570636911808776, 1.5358729489971983, -2.455334763874017E-4, 0.0017143959690178107, 3.50489571875, 0.620354948243152, 0.0, 3.778682249372749, 0.0847152774966924
0.0145, -85.28533219476746, -84.57098507895917, 12.953901861935297, -84.9007893464248, 0.32980426746563063, -0.029636152600559726, 1.5310386704314398, -1.7188647006071494E-4, 0.0017550846675561476, 3.5048795937499992, 0.6246629687170627, 0.0, 3.8351423451516014, 0.08428358835072626
0.0146, 90.9819062123935, 88.79645424153493, 13.147361862455273, 88.50568128487815, 0.29077295665677494, -0.03864271156941826, 1.540068227420955, 1.2676263200880325E-4, 0.0017543510272238826, 3.5048103750000004, 0.6289709891909735, 0.0, 4.068432354244293, 0.08201913083602035
0.0147, -218.03598929792267, -225.52443214236243, 13.527306173662135, -225.41754114016973, -0.10689100219270838, -0.02529208656887203, 1.5267773576405124, 4.6354986284568916E-4, 0.001793000259419341, 3.5048708749999995, 0.6332790096648843, 0.0, 4.344815365956941, 0.07954835610119856
0.0148, -260.0075962584051, -260.2152866227919, 13.902825545670904, -259.98794486341836, -0.227341759373528, -0.049053163210027055, 1.5505864325473542, 8.347262626351569E-4, 0.0017736419191652219, 3.50486, 0.637587030138795, 0.0, 4.667005336443459, 0.07692706861998076
0.0149, 111.671962539453, 105.39294848770196, 14.143009450900935, 104.9418685079322, 0.45107997976975195, -0.03770653482466212, 1.53927132866469, 0.0011476270158325857, 0.0018061136240294627, 3.5048308749999997, 0.6418950506127058, 0.0, 4.952123971275757, 0.07484752244152616
0.015, -99.75686958519752, -104.68627254788187, 14.475357930823797, -103.69284305604816, -0.9934294918337072, -0.04372121975714898, 1.5453403124229503, 0.0016560594735569728, 0.0018194225376112793, 3.50480421875, 0.6462030710866166, 0.0, 5.451550162356157, 0.07149596086484238
0.0151, -306.6445514155958, -307.00636412412086, 14.791472766570998, -306.84404961083675, -0.16231451328412375, -0.042469574495219445, 1.5441316528133053, 0.001988019059976246, 0.0017829398269260319, 3.50479596875, 0.6505110915605273, 0.0, 5.7951477400166524, 0.06949781544922014
0.0152, 44.090377949842825, 46.85535675424575, 15.46612630234263, 45.921806918485764, 0.9335498357599803, -0.05836241859614566, 1.5601123709836202, 0.0022621770566118534, 0.0018352876875192402, 3.5048064687500005, 0.6548191120344381, 0.0, 6.088337042951427, 0.06795315309559025
0.0153, 208.5904531019987, 204.0844698855195, 16.143516447195164, 204.25106378115842, -0.16659389563892305, -0.04036441401716723, 1.5422240952829738, 0.0026536930947593366, 0.0018516620704253808, 3.5048245312499997, 0.6591271325083489, 0.0, 6.535140510892199, 0.06573259421542554
0.0154, -146.08367610398633, -148.86281644581442, 16.450684714766723, -148.53136680130106, -0.3314496445133661, -0.04840295808825728, 1.5503012099399018, 0.0030396501048709132, 0.0018515381478720163, 3.5048160625, 0.6634351529822596, 0.0, 7.000989702513517, 0.06364607330339139
0.0155, -268.94517689029175, -272.6287613317049, 16.85647170121115, -272.3797375855552, -0.24902374614972694, -0.04733939576426267, 1.5492969655343827, 0.0034544730923337205, 0.0018598824656046386, 3.5047643124999994, 0.6677431734561703, 0.0, 7.533714075899779, 0.06148706452726328
0.0156, -198.13230737834223, -200.85115994269768, 17.74299052672759, -200.24065697968348, -0.6105029630141896, -0.061244144385101514, 1.563330873082649, 0.0038709330659550544, 0.0018636466232550759, 3.5047747187499994, 0.6720511939300811, 0.0, 8.101799305848177, 0.05941943977892128
0.0157, 178.13608534775932, 176.42988759739256, 18.054728217408062, 176.28057369812456, 0.14931389926800298, -0.05679951659590247, 1.5589369662254615, 0.0044190974251502495, 0.0018546260017301987, 3.5047493125, 0.6763592144039919, 0.0, 8.917707334529739, 0.05675677412962939
0.0158, -96.55848349682795, -99.00843916714602, 18.893430431011254, -99.61006055062356, 0.6016213834775354, -0.05273877282726082, 1.5549781358733465, 0.004732252963396198, 0.0018944016457365625, 3.5047419687499994, 0.6806672348779027, 0.0, 9.392394798863869, 0.05542111850676312
0.0159, -274.4229978328347, -279.5378922301924, 19.539513179966807, -279.19386731532614, -0.3440249148662667, -0.06140984457969568, 1.5637506580842615, 0.005263555530858634, 0.0019073310745128206, 3.50471415625, 0.6849752553518135, 0.0, 10.284703730097863, 0.05307388867414965
