Starting dry volume fraction: 0.0022
Maximum dry volume fraction: 0.0028
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 54.465075645095865
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 5.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00266, 0.6736507181160444, -149.7510604473337, -251.96697061227857, -113.10975294179168, 9.333541164945874, -290.48058869700134, 38.51361808472276, -0.023268264391320168, 1.5239141464436234, -0.0025982897520897114, 0.0013581273199683923, 6.361636203703708, 0.6742821414618954, 0.0, 0.21895727790251665, 0.20042810179807724, 0.003428577843649342
0.00267, 0.6760422323578652, 3681.0762587919617, 4327.634636933832, 3691.0186101926574, 7.2549754025505715, 4435.855142146571, -108.22050521273921, -0.006337409357366842, 1.5068273035238984, -0.004710618717292583, 0.0010922366821658315, 6.363563981481476, 0.6768170367305492, 0.0, 0.02378971934382841, 0.608817118127941, 0.0034285731394791776
0.00268, 0.5844953346421888, -1617.1045972319173, -1929.1759140173203, -1608.207450668894, 5.105143833297662, -1987.538085534414, 58.362171517093685, -0.005692419916771316, 1.5060216712121235, -0.00567319291077398, 8.495940176941195E-4, 6.346908827160491, 0.6793519319992029, 0.0, 0.008805895675217905, 1.0019266393281, 0.003428653955869011
0.00269, 0.6615531032576784, -269.2430438878365, -510.4459932470545, -247.3515308080974, 9.30586254756898, -583.512143941237, 73.06615069418251, -0.014058515061749488, 1.5147096543695124, -0.0032204444522653895, 0.001377235778624895, 6.361473199588477, 0.6818868272678567, 0.0, 0.11763755108964423, 0.27446619796090066, 0.003428572213273275
0.0027, 0.6805622969942369, -2234.4826291567724, -2447.3209961215557, -2223.656994465417, 8.068975740233396, -2451.5403040694346, 4.219307947878757, -0.006977960756607035, 1.5075390106923983, -0.0044409532097799366, 0.0012086988605809555, 6.362704609053497, 0.6844217225365103, 0.0, 0.033313108223237464, 0.5164061875951719, 0.003428639331966339
0.00271, 0.6778278966710385, -3706.0431303978557, -4169.413872916381, -3667.8225315906116, 9.621589861274828, -4203.100064377119, 33.68619146073929, -0.024727383732247733, 1.5253959891541256, -0.0021854234583088133, 0.001406334815008042, 6.362901327160499, 0.6869566178051641, 0.0, 0.3538855477355817, 0.15863637502284858, 0.0034285714745229032
0.00272, 0.6887785127386937, 719.2092325740961, 736.0576429497726, 757.2055841456463, 9.558762037845904, 731.327290423364, 4.730352526408537, -0.024673013262044453, 1.5253338412294744, -0.0020621595546654148, 0.0013799174318517616, 6.362995514403295, 0.6894915130738178, 0.0, 0.4054674750158058, 0.14838478913589556, 0.003428575364948156
0.00273, 0.6913582893586812, 2240.107785553007, 2264.2008275844987, 2272.7794478666156, 9.758028450036923, 2258.2456399306534, 5.9551876538454325, -0.021293412597802854, 1.5219763340808266, -0.0020996124148845658, 0.001439067036327189, 6.363807746913585, 0.6920264083424716, 0.0, 0.39314428311155186, 0.15087686811183995, 0.0034287438557589955
0.00274, 0.6939306534246552, -1260.9320901553604, -1254.1962291928576, -1239.564235935084, 9.715921325989493, -1259.661247777936, 5.465018585078502, -0.013977286448162434, 1.5146520977845248, -0.0020365814359144204, 0.0014188939740669901, 6.364087870370371, 0.6945613036111253, 0.0, 0.4228024928698483, 0.14566632998392268, 0.003428663735446542
0.00275, 0.6964132448757115, -666.7946121914259, -649.6851811385934, -625.1901467662409, 9.898762162387875, -650.8027097856924, 1.1175286470989376, -0.027313919849345485, 1.5280109640026363, -0.002044615351183091, 0.0014755174683059754, 6.3644612962963, 0.6970961988797791, 0.0, 0.42253247801394994, 0.145889916848707, 0.0034286332195605116
