Starting dry volume fraction: 0.0014
Maximum dry volume fraction: 0.0029
DryVolFrac increment: 1.0E-5
Number of particles: 108
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 53.83170338213784
Number of monomers: 2916666.666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
x-link fraction: 3.0E-5
DryVolFrac increment: 1.0E-5
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NkT)_from_dF_FR+dF_pair, (PV/NkT)_from_dF_total, (PV/NkT)_virial_measured, (PV/NkT)_virial+dF_total, (PV/NkT)_einstein, (PV/NkT)_pair_contribution, (PV/NkT)_FR_contribution, <F_total>/V, <F_pair>/V, EntropySolid, <F_reference>/V, <F_FR>/V, <alpha>, zeta, u_Hertz_nn, SpringConstant, LindemannParameter, kT/E
0.00206, 0.5799057552832949, -776.1102707285336, -1137.7075864589842, -767.4891660121867, 6.379996675898873, -761.1091693362879, 370.21842044679755, -1365.0289156938145, 227.3213292348304, -0.004239762520305159, -0.0017112346764413364, 1.5046477971164942, -0.00396543878023093, 0.0014369109363671071, 7.031687037037041, 0.7081918368071832, 0.0, 0.01514899969452399, 0.6997477685279215, 0.005715309509744302
0.00207, 0.6411622569312196, 56.77175242089401, 122.53593370545691, 73.00227285936998, 7.995860377687517, 80.9981332370575, -49.533660846086924, 139.5745746134478, -17.038640907990878, -0.008020735263669908, -0.006776002926104834, 1.5085494162114925, -0.0030653324299802797, 0.0018206000924152067, 7.051974763374476, 0.7116296612577035, 0.0, 0.05297127586251466, 0.37481272386843445, 0.005714461611016756
0.00208, 0.7077174372877754, 739.6381973437603, 924.8241090648079, 747.6305245876339, 5.873417851509746, 753.5039424391437, -177.1935844771744, 999.031593474931, -74.20748441012317, -0.003968697369531923, -0.0011102837993563334, 1.5043466664904452, -0.004231561327877612, 0.001373147757702023, 7.0742998148148155, 0.7150674857082239, 0.0, 0.011127508701308922, 0.8190930372315934, 0.005714348801811107
0.00209, 0.6295345829513515, -28.76636155382151, -26.4428160519354, -19.76903458694588, 6.511282604759431, -13.25775198218645, 6.67378146498951, -31.457260327824354, 5.014444275888955, -0.00448922300746476, -0.002016654239672629, 1.5049090991704777, -0.00395205756528282, 0.0014794887974906887, 7.047240051440334, 0.7185053101587441, 0.0, 0.016672697772082874, 0.6702295684565128, 0.005714371603287742
0.0021, 0.6330916369050145, -3925.2321165743624, -4367.182006176468, -3917.0419413846794, 6.086496322967938, -3910.9554450617115, 450.14006479178846, -4497.810255804429, 130.62824962796128, -0.004106046628613703, -0.0012797792803708199, 1.5044974170137504, -0.0042375151012817, 0.0014112477530388167, 7.047207047325099, 0.7219431346092644, 0.0, 0.011657866243569473, 0.8028011599625572, 0.0057142935241115776
0.00211, 0.6238011196481399, 10.529816222830402, 173.35648746350256, 56.64785209593812, 9.148799681508038, 65.79665177744616, -116.70863536756441, 268.67776883080927, -95.32128136730671, -0.02323082583154094, -0.02350430467279232, 1.5238430372680423, -0.0018431543601021175, 0.002116633201353497, 7.0453968004115195, 0.7253809590597847, 6.015329241993492E-5, 0.2933578061165069, 0.16028999709838432, 0.005714561396370746
0.00212, 0.727872825274653, 3977.2967417307927, 4480.382260007008, 3985.310313227904, 4.085715305959901, 3989.396028533864, -495.07194677910456, 4607.830793365032, -127.4485333580238, -0.004055770459562322, -2.1972704787265993E-4, 1.5043018028882338, -0.00481222844533115, 9.76185033641488E-4, 7.077344012345684, 0.728818783510305, 0.0, 0.005728617680709682, 1.1488538780973152, 0.005714809086252392
0.00213, 0.6007635480123961, -3203.356646603508, -3823.6331893365273, -3195.0171532431123, 6.340625334810518, -3188.6765279083015, 628.6160360934147, -4112.056800672261, 288.4236113357333, -0.004240632733848585, -0.001505606138617517, 1.5046569652611141, -0.004252347167142513, 0.0015173205719114455, 7.0364331172839565, 0.7322566079608254, 5.807201056864783E-5, 0.012383595212446434, 0.7826139553019087, 0.005715120401493039
0.00214, 0.7302662545537285, -4333.698471209526, -4813.886076967616, -4295.8218803188975, 9.629219645215572, -4286.1926606736815, 518.0641966487203, -4980.436485453487, 166.55040848587117, -0.019350671803359105, -0.019867489177763188, 1.5200125034111585, -0.001850736104212626, 0.002367553478616711, 7.080571141975305, 0.7356944324113457, 9.648333907939208E-4, 0.3006164933741251, 0.1590899026164956, 0.005714696326024654
0.00215, 0.7380470783399165, 12.667283200294047, 44.54948546598965, 61.24267402905307, 9.59089055686769, 70.83356458592075, 16.693188563062918, 43.4595495728483, 1.0899358931413468, -0.024932518740732167, -0.025471116170023053, 1.5255879576657843, -0.001796069434180036, 0.0023346668634709232, 7.0788562962962995, 0.739132256861866, 0.0014730002275538353, 0.32662459749345607, 0.15286197625992287, 0.005716914801503582
0.00216, 0.7415277569680678, 262.5604194746593, 283.31841045382305, 299.9690115311134, 9.721205694815742, 309.69021722592913, 16.65060107728986, 267.1552432915251, 16.16316716229797, -0.019290189981252953, -0.019896925729126304, 1.5199569121251664, -0.0017877396225828644, 0.0023944753704562144, 7.078833991769543, 0.7425700813123863, 0.0022172511782417134, 0.33380378729029475, 0.15144329412269578, 0.005714487389526622
0.00217, 0.7449889138253967, 544.2861013776615, 576.4235205778965, 589.9938810515503, 9.807457462561892, 599.8013385141121, 13.57036047365364, 556.0575088594867, 20.366011718409776, -0.02367888508214196, -0.024379774637528336, 1.5243532818497785, -0.0017331218148265235, 0.002434011370212898, 7.079261687242802, 0.7460079057629067, 0.0031291173840643166, 0.3622079310581702, 0.14560804157002963, 0.005714638573172821
0.00218, 0.748380236322907, 717.8626106753586, 753.2954774581896, 749.9345541681971, 9.967445671846804, 759.9019998400439, -3.360923289992797, 713.6553326932772, 39.640144764912456, -0.016691415276538814, -0.017466645077531744, 1.517383230695401, -0.0017389193970629487, 0.002514149198055877, 7.082060051440324, 0.749445730213427, 0.004286754254158882, 0.3632241936859849, 0.14562721391678446, 0.005714536134989654
0.00219, 0.7517720678415734, -110.12812394184222, -74.79164023168708, -71.39358984191915, 10.187564081318692, -61.20602576060046, 3.398050389768778, -105.81680843323713, 31.02516820155004, -0.020251343593646876, -0.021132565871920136, 1.5209661693859011, -0.0017651224304390547, 0.0026463447087123116, 7.082035648148151, 0.7528835546639473, 0.0057655747904970705, 0.35479269163968247, 0.14757239743623038, 0.005714427917837592
0.0022, 0.755232486227458, 66.97899402645719, 72.31172470957698, 99.76053915974107, 10.31283471568992, 110.07337387543099, 27.448814450164793, 78.82160082282626, -6.509876113249283, -0.017217238335502247, -0.018164874590412435, 1.5179423247889616, -0.001738814741118126, 0.002686450996028316, 7.082831460905351, 0.7563213791144676, 0.007297809037246837, 0.370753275535205, 0.14458042236043267, 0.00571483370391486
0.00221, 0.7586015652359316, 295.5240553868991, 316.99063296006176, 333.3019059743663, 10.2438843607132, 343.5457903350795, 16.31127301430463, 301.3060855984572, 15.684547361604587, -0.01993154245416788, -0.02092135567366827, 1.5206452088035616, -0.001649871402123813, 0.002639684621624203, 7.0831752469135765, 0.7597592035649879, 0.008769334105389387, 0.4194846319238121, 0.13612894883204393, 0.00571443384081786
0.00222, 0.7620364527997244, 1022.3254823287524, 1042.7367905304086, 1052.1493193492418, 10.513685654112178, 1062.6630050033539, 9.412528818833648, 1005.2136380691219, 37.5231524612866, -0.015806214908980605, -0.01691557753872082, 1.5165500532348186, -0.001675865112182833, 0.0027852277419230494, 7.084035360082308, 0.7631970280155081, 0.011032223657529339, 0.4097201552316639, 0.13794895692958176, 0.0057149586862557025
0.00223, 0.7654486558450194, 403.8229685102989, 415.28706809315383, 432.0931658877551, 10.583236510664383, 442.6764023984195, 16.806097794601197, 396.2683857833364, 19.018682309817425, -0.015050297835325068, -0.01627420668324455, 1.5158013038066607, -0.0016200277713619832, 0.002843936619281467, 7.086292026748979, 0.7666348524660285, 0.013188065363898695, 0.44388429976743166, 0.13273266759141694, 0.005715160304779046
0.00224, 0.7689036489969258, 1049.8044018632686, 1066.251547590271, 1075.756392405805, 10.740254713003852, 1086.4966471188088, 9.504844815533591, 1033.4704064311152, 32.78114115915585, -0.013878102261806899, -0.015169492377678954, 1.5146413692512535, -0.0016101513030925094, 0.002901541418964566, 7.086400318930039, 0.7700726769165488, 0.015642907016406707, 0.4535497878675954, 0.13150672100587207, 0.005714569718125304
0.00225, 0.7722333713356141, 744.5931057664271, 752.5306701289669, 763.2804178172993, 10.954745446768007, 774.2351632640673, 10.749747688331798, 715.8522326661778, 36.67843746278915, -0.010037851040239975, -0.011475190867792764, 1.510824150561272, -0.0015890218312110457, 0.0030263616587638356, 7.087748106995887, 0.7735105013670691, 0.01856667869072705, 0.4699148202703478, 0.12938850516740258, 0.0057143650443641485
0.00226, 0.7756504047587628, 627.0052159211034, 624.7276061505099, 646.1382233104625, 11.0841188193725, 657.222342129835, 21.410617159952476, 617.2025410045541, 7.5250651459558755, -0.010322932060560699, -0.011853551433715803, 1.5111216997042347, -0.0015729496771445027, 0.0031035690502996065, 7.089204516460902, 0.7769483258175894, 0.021564570601439292, 0.4836573255098424, 0.12772571872872035, 0.005715277939966775
0.00227, 0.7791110276673863, 89.52042120164785, 81.81392541317025, 102.51881230122491, 11.116353058005517, 113.63516535923043, 20.70488688805476, 71.03548898436935, 10.7784364288009, -0.0070441216564926315, -0.008633164494354296, 1.507841485263906, -0.0015007135731887043, 0.0030897564110503677, 7.091254197530862, 0.7803861502681098, 0.024434525017170344, 0.5336209250655846, 0.12177831311049654, 0.00571526711709367
0.00228, 0.7825680750057941, -270.3053167938641, -260.2275687454875, -252.12540965530312, 11.260885625204864, -240.86452403009827, 8.102159090184456, -294.78155463861117, 34.55398589312368, -0.009895503534303376, -0.011590445080809711, 1.5107076216647946, -0.0014873132703320119, 0.0031822548168383468, 7.091833775720158, 0.7838239747186301, 0.027983230095424274, 0.5469717563432047, 0.12045927881286138, 0.005714619438896575
0.00229, 0.7859514051876848, -254.4481420977147, -251.88123803379148, -239.2025289396722, 11.463931525789473, -227.73859741388273, 12.678709094119288, -279.4440795440046, 27.562841510213108, -0.008334734475845557, -0.01014231331183005, 1.5091654091157936, -0.001475075220755602, 0.003282654056740094, 7.092053384773669, 0.7872617991691504, 0.03183869393838801, 0.5597342611312547, 0.11925190054878222, 0.005714673609528191
0.0023, 0.7893557014590523, 156.25454018603307, 165.95577532757576, 176.48895371554323, 11.592538605782579, 188.0814923213258, 10.533178387967688, 125.97135781370501, 39.98441751387075, -0.011110403921565384, -0.01301327143368734, 1.5119520910148612, -0.001439659646621114, 0.0033425271587430687, 7.095138446502054, 0.7906996236196707, 0.03576328196600311, 0.5891791108179429, 0.11640278437253333, 0.005714925237419431
0.00231, 0.7927538596521002, 757.0067527776953, 759.4600800213786, 770.767516123235, 11.836865830332643, 782.6043819535677, 11.307436101856672, 716.8051911457908, 42.654888875587886, -0.007588674002310806, -0.009654003265340643, 1.5084567389709045, -0.0014373017780840243, 0.003502631041113862, 7.095386296296298, 0.794137448070191, 0.04049002678950026, 0.5953907074383058, 0.11596156317413359, 0.005714620337076063
0.00232, 0.79608963823807, 981.441484792915, 987.7688761666153, 994.9755434404666, 11.965440600984627, 1006.9409840414512, 7.206667273851166, 937.9747006720432, 49.79417549457211, -0.007495962921809946, -0.009674363195399598, 1.5083736682678508, -0.0013981147873807494, 0.0035765150609704016, 7.095786234567909, 0.7975752725207114, 0.04500278927298821, 0.6291436025063183, 0.11297062454536531, 0.005714670085142483
0.00233, 0.7994569116023007, 193.83508409002943, 192.3494419059973, 199.053338867857, 12.249426577085735, 211.30276544494274, 6.7038969618596775, 126.86127788037108, 65.48816402562623, -0.002902636092503556, -0.005258903644846707, 1.5038111681670983, -0.0014149451901727809, 0.003771212742515932, 7.097176882716053, 0.8010130969712317, 0.05056521063172096, 0.6209577032898326, 0.11387596176959866, 0.005715005197563831
0.00234, 0.8029203325704043, -1106.378016894013, -1107.569142892752, -1094.6163440818254, 12.470668973509135, -1082.1456751083163, 12.952798810926733, -1154.2383491880933, 46.66920629534117, -0.006570468568483105, -0.009113786015369557, 1.507505122916572, -0.0013782514894731493, 0.003921568936359602, 7.100651656378602, 0.804450921421752, 0.05610104705400077, 0.6537664558017188, 0.11114034216879023, 0.0057148631974720775
0.00235, 0.8063461543430714, 1240.8851756765298, 1240.5312508908726, 1255.475002897899, 12.636580631171805, 1268.111583529071, 14.943752007026285, 1208.1835888107282, 32.34766208014441, -0.008185202002010276, -0.010847881415201105, 1.5091351452855124, -0.0013648800587042207, 0.004027559471895049, 7.10165288065844, 0.8078887458722723, 0.061623041992962105, 0.6690280729638358, 0.11002166436199137, 0.005714476600103238
0.00236, 0.8096623801323418, 1587.4444668077344, 1571.7331658125597, 1588.5904883615426, 12.804262767452142, 1601.3947511289948, 16.85732254898309, 1531.3191344071558, 40.414031405403776, -6.456782829318648E-4, -0.003437456700740543, 1.5016074335272662, -0.0013185163299650297, 0.004110294747773708, 7.103842993827164, 0.8113265703227925, 0.0673340668056394, 0.712022824234729, 0.1067992338325909, 0.005714522170381987
0.00237, 0.8130906700477992, 188.50799701223502, 183.41480706697746, 189.57854749074303, 13.01303095411257, 202.5915784448556, 6.163740423765631, 109.80463314493284, 73.61017392204461, -6.057129887204029E-4, -0.0035655021134273902, 1.5015897907928324, -0.0012955661395783603, 0.004255355264285348, 7.105893755144032, 0.8147643947733129, 0.07368674196816957, 0.736583522257274, 0.10515167849059488, 0.0057148973608247425
0.00238, 0.8164718332404234, 130.31047098539685, 122.94938538554604, 129.86276129075134, 13.334932589738441, 143.19769388048977, 6.913375905205202, 49.22732968669603, 73.72205569885, 2.5438110317361866E-4, -0.002943266821988063, 1.500766171301502, -0.0013000196848650793, 0.004497667610026761, 7.107284002057612, 0.8182022192238332, 0.08113350480719088, 0.7374483608737707, 0.10523760088065076, 0.005714299859890862
0.00239, 0.8197817194830928, 122.34384440194277, 108.28108146552137, 122.31497210669421, 13.562591979565148, 135.87756408625935, 14.033890641172794, 54.436751907381186, 53.84432955814019, 1.6473679098364703E-5, -0.003355192262420383, 1.5010262480112064, -0.0012734817362823193, 0.004645147677801067, 7.109016111111102, 0.8216400436743535, 0.08812313846985989, 0.7657908665503236, 0.1034162144358937, 0.0057157798999826325
0.0024, 0.8231778124440072, 340.02832620377825, 318.2331277695904, 338.56481538657187, 13.76232508458381, 352.3271404711557, 20.3316876169816, 273.5500272870365, 44.68310048255384, 8.385299309766657E-4, -0.002711427400128335, 1.5002241330049018, -0.0012436695438056999, 0.004793626874910701, 7.111131028806585, 0.8250778681248738, 0.09542038288172076, 0.7980355417056845, 0.10144649753818635, 0.005714301748510433
0.00241, 0.8266258008646221, 10.442345747883694, -8.284442299887388, 7.591901221029097, 13.953488985665512, 21.54539020669461, 15.876343520916443, -72.68296531911717, 64.39852301922978, 0.0016399893462962075, -0.0020716823199851443, 1.4994378571911016, -0.0011867689915780798, 0.004898440657859431, 7.1133628292181035, 0.8285156925753941, 0.10269919286433532, 0.8581132431582311, 0.09796654811183597, 0.005714406170682669
0.00242, 0.8299633769960161, 91.19153071272648, 82.60229955741063, 89.65381464815916, 14.242464786075265, 103.89627943423442, 7.051515090748568, -9.953875357266758, 92.55617491467738, 8.883884592741755E-4, -0.003075655380799981, 1.500218869597579, -0.0011777142926426341, 0.00514175813271679, 7.114804146090525, 0.8319535170259145, 0.11127975935040281, 0.8721766411685599, 0.09730772600126976, 0.005715102121594291
0.00243, 0.8333194089228458, 345.9487815039065, 335.7933207651175, 342.37124984795014, 14.560620252198548, 356.93187010014867, 6.577929082832669, 238.01162754648607, 97.78169321863143, 0.002075396832727612, -0.0021446272134767763, 1.4990692059042365, -0.001162833663060941, 0.005382857709265329, 7.118314783950615, 0.8353913414764348, 0.12033693249119527, 0.892361779143592, 0.09633321132749942, 0.005714740329752297
0.00244, 0.836733192582186, 121.52070903549897, 103.88283953600771, 117.15995145093709, 14.865336555222475, 132.02528800615957, 13.277111914929359, 17.54431959997713, 86.33851993603058, 0.002540172218263119, -0.0019568848224646865, 1.498638889661041, -0.0011558776422100118, 0.0056529346829378175, 7.120542798353903, 0.8388291659269551, 0.12980749979931924, 0.9045244571657672, 0.09581442085470306, 0.005714779487841405
0.00245, 0.8400246885066123, 231.05320868887065, 210.7583319676017, 226.51287558491802, 15.104097682261138, 241.61697326717916, 15.75454361731637, 126.58964578971784, 84.16868617788387, 0.0026556154786585603, -0.002076899297379564, 1.4985455231630367, -0.0011089145302269426, 0.005841429306265067, 7.12307638888889, 0.8422669903774754, 0.13890168648628523, 0.9599324982931984, 0.09313496903425104, 0.0057143687426905905
0.00246, 0.8434246450458989, 181.2626785204365, 160.8406340606811, 175.05889287811598, 15.436863434536972, 190.49575631265296, 14.218258817434876, 78.6972261569694, 82.1434079037117, 0.0036433700266654302, -0.0013694180662927233, 1.4975955321398946, -0.0010897076009364853, 0.006102495693894639, 7.126220833333335, 0.8457048148279958, 0.14904554034064318, 0.9863690496777043, 0.0920032307089194, 0.005714755705055101
0.00247, 0.8467842229813293, -4.454250806315042, -21.18012312158031, -10.425534075583387, 15.680894918614593, 5.255360843031205, 10.754589045996864, -128.91914244681487, 107.73901932523457, 0.003521081017196698, -0.0017122812010782512, 1.4977397004195971, -0.0010498867564280295, 0.006283248974702979, 7.128664845679009, 0.8491426392785161, 0.15870490776418608, 1.0374297503181285, 0.08983192974943544, 0.00571513978656329
0.00248, 0.8500946952122589, 223.19606016149262, 208.8817003677284, 217.07822642601593, 16.063423808951622, 233.14165023496756, 8.196526058287526, 83.21768841733831, 125.66401195039009, 0.0036221025456575472, -0.001998826254790032, 1.497686991348804, -0.001046859328048213, 0.006667788128495792, 7.1312488065843604, 0.8525804637290364, 0.17046568654244978, 1.04602035121667, 0.0895828593454574, 0.005715264221647737
0.00249, 0.8534356308456956, 338.83752033080447, 316.9719255942303, 331.12145973710057, 16.378425459716887, 347.49988519681744, 14.149534142870236, 205.91218000313182, 111.05974559109849, 0.004586763704796827, -0.0013310655737201217, 1.4967547977056652, -0.0010191936412131625, 0.006937022919730111, 7.135046193415633, 0.8560182881795566, 0.18161869278519224, 1.0844392259219733, 0.08809980226925589, 0.0057142889214020515
0.0025, 0.8566992123693102, 366.95046793243426, 347.2606804225624, 358.170876704195, 16.71932087905374, 374.8901975832487, 10.910196281632615, 205.4781825133333, 141.7824979092291, 0.005239932533626991, -0.001026359305828991, 1.4961405449807732, -9.874865733165857E-4, 0.007253778412772568, 7.138329465020576, 0.8594561126300769, 0.19351816899679763, 1.129077574846321, 0.08645614612624583, 0.005714653242683812
0.00251, 0.8600634398224636, 108.06067931291966, 91.69313498836242, 97.48219316273187, 17.106209033811403, 114.58840219654329, 5.789058174369403, -71.5149228648191, 163.20805785318151, 0.006338823130036755, -3.5819039483068435E-4, 1.4950890273253388, -9.750011837499558E-4, 0.007672014708617395, 7.140604372427986, 0.8628939370805973, 0.20658936840767497, 1.1500809340782325, 0.08577712102520169, 0.005714747341450008
0.00252, 0.8634375720919324, 62.10665830949848, 44.190286110355544, 52.53912193772998, 17.498882813156346, 70.03800475088633, 8.348835827374398, -135.78495136079914, 179.97523747115468, 0.005755884271622569, -0.0013706720169238567, 1.495721987537728, -9.676147903227221E-4, 0.008094171078869148, 7.14438941358025, 0.8663317615311176, 0.22002544784772493, 1.1646423268225803, 0.08535225295489755, 0.005714742839406296
0.00253, 0.866763698633699, 481.8710327459047, 458.8174894992195, 470.88520926639427, 17.92733195940143, 488.8125412257957, 12.067719767174722, 296.01243054067714, 162.80505895854236, 0.006635360580103036, -0.0010173941303682629, 1.4948935490416375, -9.42817911483154E-4, 0.008595572621954452, 7.147619722222221, 0.8697695859816379, 0.2344870345697156, 1.2023679043184516, 0.08411354046723306, 0.0057151870228126355
0.00254, 0.8700850103745636, 427.2392052633124, 401.7203632456369, 413.95274372324377, 18.282534360323066, 432.2352780835668, 12.232380477606787, 244.43293966403994, 157.287423581597, 0.008056648975451788, 3.46405878452114E-5, 1.4935119641309533, -9.174487787585427E-4, 0.00893945716636512, 7.1524629938271636, 0.8732074104321582, 0.2479279405902321, 1.2417921564892607, 0.08287646335141874, 0.005714358312547368
0.00255, 0.8733004866667985, 302.3468486771893, 277.8153498699949, 288.0962927915315, 18.690602554804926, 306.7868953463364, 10.280942921536692, 83.95514453263974, 193.86020533735518, 0.008675277522112309, 1.4995994822640036E-4, 1.4929449764321612, -8.916366030513534E-4, 0.009416954176937262, 7.155724866255136, 0.8766452348826785, 0.26291636031129284, 1.282812532466263, 0.08164749977525725, 0.005714982921398179
0.00256, 0.8766204292656878, 303.5005396390411, 276.4886150007335, 287.9557938244635, 19.127461144496095, 307.08325496895964, 11.467178823729988, 72.92865465373859, 203.55996034699487, 0.009500248840308747, 4.366730318128128E-4, 1.4921744217590103, -8.753541204495231E-4, 0.009938929928945458, 7.159586152263379, 0.8800830593331989, 0.2785344108069597, 1.3110231486505532, 0.08086971307118641, 0.005715777693802156
0.00257, 0.8799330942334765, 302.4739018146537, 272.6028936986923, 285.9723732927827, 19.565282475112237, 305.53765576789493, 13.369479594090368, 48.312311330963716, 224.2905823677286, 0.010124385855550642, 5.015801327229656E-4, 1.4916042933532778, -8.437235613239053E-4, 0.010466529284151581, 7.164939351851854, 0.8835208837837192, 0.29468710441810136, 1.362367856777743, 0.07943433681148708, 0.00571445119778815
0.00258, 0.8831685888848267, 320.5240581611348, 296.97490153806405, 302.7550553233008, 20.04109658079388, 322.79615190409464, 5.780153785237074, 38.92425350222314, 258.05064803584094, 0.01094445533921159, 6.712506739647022E-4, 1.4908491651572389, -8.18085499642022E-4, 0.01109129016488891, 7.168656502057614, 0.8869587082342395, 0.3121640994693881, 1.4060663892909646, 0.07829152435959463, 0.005714483381865498
0.00259, 0.886423421815904, 376.47724377921037, 347.770935995468, 357.62805093580073, 20.532074744881612, 378.1601256806823, 9.857114940332597, 90.51654468172354, 257.25439131374446, 0.011654775502637205, 6.926332468508162E-4, 1.490206581803204, -8.224671079805915E-4, 0.011784609363766982, 7.173596841563787, 0.8903965326847598, 0.33039369385676326, 1.4041811192443419, 0.07844515351729175, 0.005714992959914579
0.0026, 0.8896735011481016, 422.20681321821655, 392.65000230192635, 401.67851621929515, 20.993000891006954, 422.6715171103021, 9.028513917368471, 87.70920348719625, 304.9407988147301, 0.012742001768483805, 0.001108783858776245, 1.4891777657463512, -7.773723399795783E-4, 0.012410590249687138, 7.178820534979425, 0.8938343571352801, 0.34839744232679704, 1.4795818199512563, 0.0765184298821293, 0.005714287846780639
0.00261, 0.8928859217016116, 248.49421744096063, 221.04502422011865, 226.55416160617312, 21.562774189547653, 248.1169357957208, 5.509137386054617, -100.74015257017676, 321.7851767902954, 0.013670664542559878, 0.001119942952145993, 1.4883382007089638, -7.853389166495087E-4, 0.013336060507063393, 7.183423425925937, 0.8972721815858005, 0.36957823755790675, 1.4716159633264896, 0.07682348736002872, 0.005715377796409641
0.00262, 0.8961320685286546, 374.0855033539668, 344.2008773983973, 351.8170084890757, 22.050306891235984, 373.8673153803117, 7.616131090678574, 29.96435097943724, 314.23652641896007, 0.01392847425954824, 6.363669996256055E-4, 1.4881469522291517, -7.57086069297636E-4, 0.01404919332922027, 7.18914528806585, 0.9007100060363208, 0.38918842701781053, 1.5219144785618102, 0.07563968877761403, 0.005714640207076355
0.00263, 0.8993272153804015, 468.21331010139676, 438.73707338102287, 443.59534211817436, 22.599960990960703, 466.19530310913507, 4.858268737151233, 69.414972079557, 369.32210130146586, 0.015456791252493987, 0.001267869952749451, 1.4866996412261566, -7.547538523117255E-4, 0.014943675152056262, 7.194938364197533, 0.904147830486841, 0.41056313922071525, 1.530419231854383, 0.07552506992329969, 0.005714417728931982
0.00264, 0.9025321035291596, 480.7339021021383, 441.8871264318223, 455.0870374248494, 23.171207903403243, 478.25824532825266, 13.199910993027176, 69.421327994419, 372.4657984374033, 0.016164028141269913, 9.774406741558826E-4, 1.4860802592469484, -7.396291177874248E-4, 0.015926216584901454, 7.20135384773662, 0.9075856549373613, 0.43331563893996833, 1.560069091376983, 0.07489862067169475, 0.0057143225187140205
0.00265, 0.9056789662936245, 569.4999897741762, 522.8601689862156, 541.4396373825092, 23.71212863025758, 565.1517660127668, 18.579468396293716, 154.6527534545419, 368.2074155316737, 0.017752126557436305, 0.0016067372315310077, 1.4845660050477225, -6.973321707166547E-4, 0.016842721496621953, 7.206342397119347, 0.9110234793878816, 0.45572779224689336, 1.6366882577295507, 0.07321668615602664, 0.0057143126714324245
0.00266, 0.9087989199785753, 510.21015663249193, 471.03957253318845, 480.47417071387315, 24.270734263196726, 504.7449049770699, 9.434598180684208, 33.84018551612497, 437.1993870170635, 0.018883190295170233, 0.0017279794981362947, 1.4835161112468032, -6.561815750360264E-4, 0.017811392372069964, 7.213464629629629, 0.914461303838402, 0.4787818708979749, 1.7143676461504955, 0.07162857726784597, 0.005714329930096761
0.00267, 0.9119756209746792, 576.764963942782, 544.5853798585291, 545.0930025305845, 24.90132431605585, 569.9943268466403, 0.5076226720557104, 60.68910125977736, 483.89627859875173, 0.020188200610748844, 0.0017813045425858055, 1.4823175442718342, -6.572189786733063E-4, 0.019064115046836343, 7.220119053497942, 0.9178991282889223, 0.505077007097268, 1.716916463720535, 0.07166497136814856, 0.005714747947654256
0.00268, 0.915094448040915, 598.4018750359577, 558.0753006350537, 564.5835833111881, 25.505215463638987, 590.0887987748271, 6.508282676134372, 67.61644131379438, 490.4588593212594, 0.02163704014558161, 0.0020310917170431476, 1.4809685863048514, -6.586808439158254E-4, 0.020264629272454288, 7.227571543209882, 0.9213369527394426, 0.5311746796325423, 1.7186824369161309, 0.07171745545571295, 0.005714303795660443
0.00269, 0.918088533382542, 669.6666222223549, 628.432768313125, 633.7810555044045, 26.13165903201868, 659.9127145364232, 5.348287191279683, 55.54540611791046, 572.8873621952146, 0.023045359101771783, 0.002119306669540465, 1.4796614454759722, -6.310597465908613E-4, 0.02155711217882218, 7.23427907407408, 0.9247747771899629, 0.5581289040714591, 1.773671835915989, 0.07068466740725816, 0.005714651017245805
0.0027, 0.9211283618846982, 735.7204689693099, 693.595464473961, 697.1921896112249, 26.820046820893843, 724.0122364321187, 3.5967251372637596, 66.29817807120627, 627.2972864027547, 0.02483446274009183, 0.002312058422445597, 1.4779971885558347, -6.378365476355063E-4, 0.02316024086528174, 7.242201265432111, 0.9282126016404832, 0.5884726004127718, 1.7654458024477837, 0.07093683708870702, 0.0057179277881605674
0.00271, 0.924185939280819, 747.6142931909575, 700.4782795475528, 706.5638932460598, 27.495144268431936, 734.0590375144917, 6.08561369850672, 62.12916375775607, 638.3491157897968, 0.026558165582882376, 0.0024529835109658223, 1.4763898931803543, -6.186113642223796E-4, 0.02472379343613893, 7.249725997942388, 0.9316504260910036, 0.6186664870655479, 1.8054918374803597, 0.07023222479792329, 0.0057143007986419974
0.00272, 0.9271097794902259, 763.5370075765089, 711.1388339423131, 719.7948604696531, 28.174531742567893, 747.969392212221, 8.656026527340227, 58.00378823490396, 653.1350457074092, 0.028404058048716662, 0.0026268065274548994, 1.4746685720115862, -6.133452801014898E-4, 0.026390596801363252, 7.257415113168714, 0.9350882505415239, 0.6500857978465874, 1.8196289167276034, 0.07004481301094327, 0.005714401431225699
0.00273, 0.9300891973376578, 879.3991574717335, 830.106314075905, 833.0558153463846, 28.854446194310437, 861.910261540695, 2.949501270479302, 67.50822364804581, 762.5980904278591, 0.030203786252564237, 0.0027492459533133818, 1.4729875045869427, -5.817917737070086E-4, 0.028036332072957863, 7.266317870370373, 0.9385260749920442, 0.6815785190192066, 1.8842233402230995, 0.06891796627941715, 0.0057152433461217685
