Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 87.50000000000001
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 3.0E-5
Maximum x-link fraction: 1.0E-4
x-link fraction increment: 3.0E-6
Reservoir swelling ratio: 7.0053187131881725
MC steps: 100000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00465, 0.928850701492354, 94.81065050753733, 70.06341500335859, 69.1024403506026, 69.33838242452117, 0.9609746527559749, 0.027210212818285964, 0.027212311323367936, 1.472791885686796, -0.00862897925784794, 0.03493266748404103, 9.065245920928751E-4, 6.982780617283951, 1.5985883694919414, 4027.5076630172243, 5704.71291552988, 0.7059965545423298
0.00475, 0.9189608983929335, 98.33087317579898, 72.03851578221516, 71.0388931081303, 71.30710272211041, 0.9996226740848579, 0.029510920058904835, 0.029513188518730228, 1.4704913484009206, -0.008790420581887746, 0.03735596305201471, 9.453775887778718E-4, 6.982256522633744, 1.6329666139971444, 4026.600873768151, 5703.428505226119, 0.7059965545423299
0.00485, 0.907591167313326, 101.78112817205528, 73.99250072120537, 73.04981534889313, 73.28303993951589, 0.9426853723122371, 0.031905166175627164, 0.03190760734681404, 1.4680972749955596, -0.008951359274237737, 0.03986246701867076, 9.940584311941465E-4, 6.981463549382715, 1.6673448585023476, 4025.2291291915603, 5701.485514757165, 0.7059965545423298
0.00495, 0.8947452890546139, 104.02330538057377, 75.49497862026882, 75.00182773320864, 74.44511575213645, 0.493150887060188, 0.034370610957520545, 0.03437323431253157, 1.4656320123974904, -0.009111805699922376, 0.04245103705737444, 0.0010313796000684754, 6.980858703703703, 1.7017231030075508, 4024.1830312607385, 5700.003782411461, 0.7059965545423297
0.00505, 0.8861828102328854, 107.71137770177343, 76.44747776395317, 75.383390189917, 76.06345278856321, 1.0640875740361748, 0.036871913150049986, 0.03687475433793662, 1.4631309280378366, -0.00927176980508998, 0.04508440640050301, 0.0010592765546369508, 6.980828209876542, 1.7361013475127538, 4024.130296112675, 5699.92908636978, 0.7059965545423299
0.00515, 0.8689845427532401, 111.25681091391938, 79.29417750218427, 78.21645380681191, 78.0405958805796, 1.0777236953723535, 0.039513450414063164, 0.039516459649044246, 1.460489558820918, -0.009431261141903164, 0.047820573969992404, 0.0011241375859739266, 6.979677263374485, 1.770479592017957, 4022.1402191586453, 5697.110266729336, 0.7059965545423299
0.00525, 0.8567594594676452, 113.4890947229491, 79.94855835532788, 79.36408657195496, 79.2475270686103, 0.5844717833729215, 0.042184034572927166, 0.042187252473985005, 1.4578191833281307, -0.009590288891495413, 0.050619933565182386, 0.0011543898992401947, 6.979396995884769, 1.8048578365231602, 4021.6557140009945, 5696.423995451475, 0.70599655454233
0.00535, 0.8425163611867098, 116.68387476759194, 81.3748989652503, 80.62361683330212, 80.75295498383187, 0.7512821319481762, 0.04493215553771767, 0.044935588056232434, 1.4550712769807972, -0.009748861885178034, 0.053484996606829024, 0.0011960208160666805, 6.979025977366252, 1.8392360810283632, 4021.0143852036317, 5695.515593288269, 0.7059965545423299
0.00545, 0.8264307048978942, 120.35488803938912, 83.68479470050865, 82.37058503778677, 82.33672609599263, 1.3142096627218818, 0.04775527920744055, 0.04775891596047284, 1.4522483575455918, -0.009906988624061046, 0.05642729579423, 0.0012349720372715944, 6.978688076131683, 1.8736143255335664, 4020.4303610376087, 5694.688359554244, 0.7059965545423298
0.00555, 0.8107404020131459, 123.31435830100668, 84.9189680879234, 83.7959054117717, 83.94227755734961, 1.1230626761517017, 0.050678678144739794, 0.05068252844114745, 1.4493251721516678, -0.01006467729723361, 0.059439265661920065, 0.0013040897800533368, 6.977841882716048, 1.9079925700387694, 4018.9680593131106, 5692.617100544423, 0.7059965545423299
