Number of particles: 108
dryVolFracMax: 0.02
dryVolFracIncrement: 1.0E-4
Initial configuration: FCC
Dry microgel radius [nm]: 50.0
Box length [units of dry radius]: 28.257430141958103
Number of monomers: 2916666.666666667
Number of chains: 2916.666666666667
Flory interaction parameter (chi): 0.0
Young's calibration factor: 1.0
Minimum x-link fraction: 0.001
Maximum x-link fraction: 0.01
#x-link fraction increment: 0.001
Reservoir swelling ratio: 3.5055745959281923
MC steps: 20000
Equilibration steps: 10000.0
Snapshot interval: 100
Displacement tolerance: 0.1
Particle radius change tolerance: 0.05
Particle radius bin width: 0.001
g(r) bin width: 0.005
phi0, phi, mu/kT, (PV/NKT)total, (PV/NKT)_Virial, (PV/NKT)_pair/calculated, (PV/NKT)_FR, <F_total_path1>/V, <F_total_path2>/V, QMelting, <F_id>/V, <F_pair>/V, <F_FR>/V,  <alpha>, Zeta, B2, B2_HS, B2*
0.00365, 0.157238709883739, -6.065626631184041, 1.2264359126779076, 1.5636845237491066, 1.5274092960620993, -0.337248611071199, -0.006322390400434092, -0.006322248706604736, 1.5063225320942635, -0.006984279173223753, 2.2192450065473905E-4, 4.3996427213492196E-4, 3.5050716666666664, 0.15724270398592205, 658.6136984528939, 721.5049372278344, 0.9128332523730452
0.00375, 0.16155453747615867, -5.824608511928066, 1.327861080453761, 1.5065774799846585, 1.5827320138905938, -0.17871639953089763, -0.006471294719729259, -0.006471154111251806, 1.5064714353282067, -0.007151431961720064, 2.4009827046013742E-4, 4.400389715306679E-4, 3.505127592592592, 0.1615507232732076, 658.6452249140841, 721.539474161177, 0.9128332523730452
0.00385, 0.16585289303274486, -5.092271016844099, 2.014704940707067, 1.6723952805961213, 1.7468535232105014, 0.3423096601109459, -0.006600494971308636, -0.006600308542845683, 1.5066006813997717, -0.007317948054971303, 2.625531458985213E-4, 4.548999377641457E-4, 3.5050687037037034, 0.16585874256049313, 658.6120282048665, 721.5031074872733, 0.9128332523730452
0.00395, 0.17015904832385317, -5.090672179747513, 2.064406627560548, 1.8387765783078989, 1.8041464190350789, 0.22563004925264923, -0.006714432750897558, -0.006714183011707207, 1.5067146824900879, -0.0074838439942865554, 2.8939702391776295E-4, 4.8001421947123444E-4, 3.505066851851853, 0.17016676184777868, 658.610984301284, 721.5019639009942, 0.9128332523730454
0.00405, 0.17446695617331515, -5.45520762788941, 1.5929077552510327, 1.7907511098460063, 1.8208171381701983, -0.1978433545949736, -0.006843556663628799, -0.0068433162726816415, 1.506843797054576, -0.007649135483164614, 3.1560132303549895E-4, 4.899774965003153E-4, 3.5050588888888883, 0.17447478113506423, 658.6064955284448, 721.4970464937596, 0.9128332523730452
0.00415, 0.17877929077443594, -5.499959584279138, 1.5982816666533792, 1.8704078852560193, 1.8123578005008274, -0.27212621860264014, -0.006974899728768922, -0.006974635009497479, 1.5069751644480405, -0.00781383744938025, 3.441734059123336E-4, 4.947643146989951E-4, 3.505096944444445, 0.17878280042234979, 658.6279478711871, 721.520547327769, 0.9128332523730452
0.00425, 0.18307811422810225, -5.385108803356432, 1.554692650276885, 1.7752813997277033, 1.83938753606572, -0.2205887494508182, -0.0071061603900219004, -0.007105924238634858, 1.5071063965414089, -0.007977964101083188, 3.709752210526387E-4, 5.008284900086483E-4, 3.5050323148148155, 0.1830908197096353, 658.5915157015779, 721.4806362382963, 0.9128332523730452
0.00435, 0.18738879698390976, -5.020959974454188, 2.0352417882622684, 1.9217355876914473, 1.829625003464058, 0.11350620057082114, -0.007232019734311479, -0.007231739243278371, 1.5072323002253445, -0.008141528977614635, 4.0170886603401005E-4, 5.078003772691467E-4, 3.505060555555557, 0.18739883899692086, 658.6074350373524, 721.4980757166818, 0.9128332523730454
0.00445, 0.19169590015437954, -4.961165350506709, 1.9432982953660194, 1.7587037430916475, 1.7690224834761237, 0.18459455227437188, -0.007345893569722183, -0.00734564836325159, 1.5073461387761928, -0.008304544995648857, 4.290562702678084E-4, 5.295951556588657E-4, 3.505046481481481, 0.19170685828420642, 658.5995014346703, 721.4893845316691, 0.9128332523730454
0.00455, 0.19600057921722228, -4.876082338855002, 2.009662156453369, 1.7963907461772664, 1.7866930305318292, 0.2132714102761026, -0.0074688979310202925, -0.007468630752092033, 1.5074691651099486, -0.008467024491185368, 4.5771041278942407E-4, 5.404161473756513E-4, 3.505030555555555, 0.19601487757149197, 658.5905240137381, 721.4795498538584, 0.912833252373045
0.00465, 0.20031518704345014, -4.780370480899226, 1.92943626562824, 1.7944984082089634, 1.9117845586075086, 0.13493785741927647, -0.007578709351867742, -0.0075784470009670315, 1.5075789717027686, -0.00862897925784794, 4.867372346430445E-4, 5.635326713371522E-4, 3.505065370370371, 0.20032289685877752, 658.6101491792115, 721.5010490328401, 0.9128332523730454
0.00475, 0.20461765532453927, -5.037711755469729, 1.7496057580347366, 2.0461566962793643, 2.0466437120472927, -0.2965509382446276, -0.007697143808574, -0.007696773853368539, 1.5076975137637794, -0.008790420581887746, 5.221798534739549E-4, 5.710969198397907E-4, 3.505051388888889, 0.20463091614606307, 658.6022677494233, 721.4924150027282, 0.9128332523730452
0.00485, 0.20892956851673336, -4.642678272097647, 2.079215575026231, 2.0691550793158355, 2.1005621673607116, 0.01006049571039566, -0.007819242370194289, -0.00781887169623177, 1.5078196130441568, -0.008951359274237737, 5.586973109178294E-4, 5.734195931256181E-4, 3.5050767592592584, 0.20893893543334863, 658.6165691982886, 721.5080821016513, 0.9128332523730454
0.00495, 0.21323847893771, -4.667571914792674, 2.0716491477258163, 2.1540136900306557, 2.115922523709335, -0.08236454230483951, -0.007918815367430904, -0.007918386915352012, 1.5079192438195097, -0.009111805699922376, 5.977668905763166E-4, 5.952234419151553E-4, 3.505089259259261, 0.21324695472063418, 658.6236156087173, 721.5158013761305, 0.9128332523730451
0.00505, 0.21754797343018775, -4.452672430696055, 2.230976463499247, 2.1011447652674162, 2.0881909807579597, 0.12983169823183088, -0.008042102512937136, -0.008041700997450977, 1.5080425040284233, -0.00927176980508998, 6.361308842436495E-4, 5.93536407909195E-4, 3.505095833333334, 0.21755497400791973, 658.627321518812, 721.5198611647995, 0.9128332523730452
