phi0, phi, F_fitted, mu_kT_from_fit, P_from_fit
2.3253266332e-03, 7.9794101422e-01, -6.1172828036e-03, 3.7807820129e+02, 3.8909773459e+02
2.3282412060e-03, 7.9893680882e-01, -5.8549974601e-03, 3.7575998032e+02, 3.8629383562e+02
2.3311557789e-03, 7.9993682053e-01, -5.5944645783e-03, 3.7304664375e+02, 3.8309918445e+02
2.3340703518e-03, 8.0094324961e-01, -5.3359473795e-03, 3.6997159813e+02, 3.7954764378e+02
2.3369849246e-03, 8.0194967869e-01, -5.0796862579e-03, 3.6656713309e+02, 3.7567191583e+02
2.3398994975e-03, 8.0295610777e-01, -4.8258995175e-03, 3.6286443862e+02, 3.7150356206e+02
2.3428140704e-03, 8.0392271195e-01, -4.5747840959e-03, 3.5889362056e+02, 3.6707301947e+02
2.3457286432e-03, 8.0488789382e-01, -4.3265164322e-03, 3.5468371711e+02, 3.6240961912e+02
2.3486432161e-03, 8.0585307569e-01, -4.0812530515e-03, 3.5026271567e+02, 3.5754160449e+02
2.3515577889e-03, 8.0683405508e-01, -3.8391314220e-03, 3.4565756784e+02, 3.5249614781e+02
2.3544723618e-03, 8.0782879361e-01, -3.6002705829e-03, 3.4089420720e+02, 3.4729936969e+02
2.3573869347e-03, 8.0882353214e-01, -3.3647718828e-03, 3.3599756488e+02, 3.4197635578e+02
2.3603015075e-03, 8.0981645842e-01, -3.1327196939e-03, 3.3099158524e+02, 3.3655117392e+02
2.3632160804e-03, 8.1079367849e-01, -2.9041820226e-03, 3.2589924343e+02, 3.3104689344e+02
2.3661306533e-03, 8.1177089856e-01, -2.6792112503e-03, 3.2074256062e+02, 3.2548560131e+02
2.3690452261e-03, 8.1274811862e-01, -2.4578447683e-03, 3.1554262101e+02, 3.1988842073e+02
2.3719597990e-03, 8.1373585083e-01, -2.2401055830e-03, 3.1031958786e+02, 3.1427552858e+02
2.3748743719e-03, 8.1472870434e-01, -2.0260030360e-03, 3.0509271941e+02, 3.0866617228e+02
2.3777889447e-03, 8.1572155785e-01, -1.8155333391e-03, 2.9988038558e+02, 3.0307868808e+02
2.3807035176e-03, 8.1671249005e-01, -1.6086802489e-03, 2.9470008443e+02, 2.9753051836e+02
2.3836180905e-03, 8.1769738385e-01, -1.4054156227e-03, 2.8956845802e+02, 2.9203822917e+02
2.3865326633e-03, 8.1868227765e-01, -1.2057000740e-03, 2.8450130871e+02, 2.8661752729e+02
2.3894472362e-03, 8.1966717145e-01, -1.0094834579e-03, 2.7951361593e+02, 2.8128327809e+02
2.3923618090e-03, 8.2064909399e-01, -8.1670551572e-04, 2.7461955187e+02, 2.7604952293e+02
2.3952763819e-03, 8.2163032113e-01, -6.2729640922e-04, 2.6983249814e+02, 2.7092949600e+02
2.3981909548e-03, 8.2261154827e-01, -4.4117723155e-04, 2.6516506205e+02, 2.6593564241e+02
2.4011055276e-03, 8.2358951609e-01, -2.5826059664e-04, 2.6062909266e+02, 2.6107963492e+02
2.4040201005e-03, 8.2456215051e-01, -7.8451145782e-05, 2.5623569741e+02, 2.5637239152e+02
2.4069346734e-03, 8.2553478493e-01, 9.8354012152e-05, 2.5199525797e+02, 2.5182409241e+02
2.4098492462e-03, 8.2650741934e-01, 2.7226470593e-04, 2.4791744712e+02, 2.4744419771e+02
2.4127638191e-03, 8.2749631164e-01, 4.4339723627e-04, 2.4401124419e+02, 2.4324146394e+02
2.4156783920e-03, 8.2848609074e-01, 6.1187396204e-04, 2.4028495231e+02, 2.3922396189e+02
2.4185929648e-03, 8.2947586984e-01, 7.7782273183e-04, 2.3674621402e+02, 2.3539909347e+02
2.4215075377e-03, 8.3046409987e-01, 9.4137655014e-04, 2.3340202761e+02, 2.3177360864e+02
2.4244221106e-03, 8.3145088410e-01, 1.1026730117e-03, 2.3025876409e+02, 2.2835362307e+02
2.4273366834e-03, 8.3243766833e-01, 1.2618539740e-03, 2.2732218270e+02, 2.2514463493e+02
2.4302512563e-03, 8.3342334061e-01, 1.4190650754e-03, 2.2459744752e+02, 2.2215154163e+02
2.4331658291e-03, 8.3439722611e-01, 1.5744553330e-03, 2.2208914313e+02, 2.1937865662e+02
2.4360804020e-03, 8.3537111162e-01, 1.7281767987e-03, 2.1980129236e+02, 2.1682972792e+02
2.4389949749e-03, 8.3634499713e-01, 1.8803840794e-03, 2.1773737115e+02, 2.1450795312e+02
2.4419095477e-03, 8.3732740195e-01, 2.0312340712e-03, 2.1590032542e+02, 2.1241599760e+02
2.4448241206e-03, 8.3831429060e-01, 2.1808854635e-03, 2.1429258772e+02, 2.1055601152e+02
2.4477386935e-03, 8.3930117926e-01, 2.3294985440e-03, 2.1291609231e+02, 2.0892964527e+02
2.4506532663e-03, 8.4028534919e-01, 2.4772347624e-03, 2.1177229298e+02, 2.0753806828e+02
2.4535678392e-03, 8.4126010812e-01, 2.6242563654e-03, 2.1086217874e+02, 2.0638198497e+02
2.4564824121e-03, 8.4223486705e-01, 2.7707261697e-03, 2.1018628911e+02, 2.0546165090e+02
2.4593969849e-03, 8.4320962598e-01, 2.9168072269e-03, 2.0974473184e+02, 2.0477689068e+02
2.4623115578e-03, 8.4416623316e-01, 3.0626624912e-03, 2.0953719865e+02, 2.0432711443e+02
2.4652261307e-03, 8.4511810511e-01, 3.2084545601e-03, 2.0956298184e+02, 2.0411133469e+02
2.4681407035e-03, 8.4606997706e-01, 3.3543454483e-03, 2.0982098897e+02, 2.0412818164e+02
2.4710552764e-03, 8.4704467503e-01, 3.5004962619e-03, 2.1030976190e+02, 2.0437592282e+02
2.4739698492e-03, 8.4805959029e-01, 3.6470668956e-03, 2.1102749070e+02, 2.0485247681e+02
2.4768844221e-03, 8.4907450555e-01, 3.7942159852e-03, 2.1197203131e+02, 2.0555543208e+02
2.4797989950e-03, 8.5008942081e-01, 3.9421005031e-03, 2.1314092093e+02, 2.0648206193e+02
2.4827135678e-03, 8.5104732574e-01, 4.0908755755e-03, 2.1453139512e+02, 2.0762934256e+02
2.4856281407e-03, 8.5200100770e-01, 4.2406943676e-03, 2.1614040333e+02, 2.0899396872e+02
2.4885427136e-03, 8.5295468965e-01, 4.3917077810e-03, 2.1796462601e+02, 2.1057237091e+02
2.4914572864e-03, 8.5392137098e-01, 4.5440643498e-03, 2.2000049028e+02, 2.1236073176e+02
2.4943718593e-03, 8.5490105170e-01, 4.6979099952e-03, 2.2224418592e+02, 2.1435500156e+02
2.4972864322e-03, 8.5588073241e-01, 4.8533879726e-03, 2.2469168266e+02, 2.1655091688e+02
2.5002010050e-03, 8.5685821724e-01, 5.0106385861e-03, 2.2733874603e+02, 2.1894401544e+02
2.5031155779e-03, 8.5780605757e-01, 5.1697991985e-03, 2.3018095314e+02, 2.2152965298e+02
